Номер        Фамилия            Имя       Отчество              Номер тел.              Дата рож.            Пол                         Город                 Паспорт                   ОМС                  ИНН          Доход           Профессия      Наличие кредитов                 СНИЛС         Образование       Соц. класс         Дети                    Адрес
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
66548         Иванов         Сергей  Иннокентиевич            +79244435984             22.12.1983        Мужчина                        Москва             4597_205092           24863925362         262845415308      90.000руб             Средний            Нет              №470-687-971-85             Среднее        Средний           Есть            ул.Авангардская_д.5_к.78
95532        Боброва          Софья      Тарасовна            +79924695344             08.07.1982        Женщина                        Тюмень             0480_705562           85942208187         835005485334      95.000руб           Ветеринар           Есть              №748-924-204-58              Высшее         Низший            Нет            ул.Заводская_д.11_к.47
99493        Князева           Вера    Разумникова            +79796621058             03.06.1992        Женщина                        Москва             4683_947388           59961240273         200252805649      20.000руб             Дантист           Есть              №689-820-173-82             Среднее         Низший           Есть            ул.Кремлёвская_д.6_к.30
48812       Медведев        Николай     Евгеньевич            +79895623579             03.01.1973        Мужчина                        Москва             0380_436010           83731922730         739411498007      60.000руб                Врач           Есть              №960-409-901-98             Среднее         Низший           Есть            ул.Заречная_д.7_к.67
91552        Голубев         Степан    Григорьевич            +79168471620             09.04.1978        Мужчина                     Краснодар             4071_776762           75491761471         143559943512      15.000руб         Разработчик           Есть              №109-742-833-46             Среднее        Средний            Нет            ул.Октябрьская_д.18_к.93
79445         Павлов          Артём  Александрович            +79849102508             04.01.1973        Мужчина                        Тюмень             0492_231699           43098861592         776977327754      75.000руб           Фармацевт            Нет              №722-694-535-28             Среднее         Низший           Есть            ул.Садовая_д.17_к.7
90128        Романов           Егор      Федотович            +79872096317             23.05.1970        Мужчина                           Уфа             0382_651588           57393118905         292569217443      55.000руб       Администратор            Нет              №676-651-114-56              Высшее         Высший            Нет            ул.Земельная_д.6_к.44
61169     Золотарёва        Татьяна     Степановна            +79233039829             07.10.1982        Женщина               Нижний Новгород             4682_224745           93142144519         829468498339      10.000руб           Ветеринар            Нет              №355-733-792-56             Среднее         Высший            Нет            ул.Земельная_д.11_к.81
97599       Медведев         Максим    Ярославович            +79984582524             22.11.1988        Мужчина                Ростов-на-Дону             4581_782031           17616542873         278291798780     100.000руб         Программист           Есть              №156-995-711-36         Аспирантура        Средний           Есть            ул.Садовая_д.18_к.63
50955       Петушков         Никита     Васильевич            +79443530609             03.08.1980        Мужчина                     Волгоград             0394_328975           95876986969         449780340071      30.000руб         Программист           Есть              №393-300-100-31              Высшее        Средний           Есть            ул.Молостовых_д.5_к.38
95931        Телегин      Владислав       Добрынич            +79794309085             01.04.1979        Мужчина                     Волгоград             4573_308507           57211867322         585975561710      70.000руб           Фармацевт           Есть              №146-261-937-91             Среднее         Низший           Есть            ул.Зубовская_д.4_к.93
52624     Плотникова          София  Севастьяновна            +79179691796             27.05.1970        Женщина                        Москва             7588_899673           78827622823         569028883646      35.000руб            Психолог           Есть              №428-622-273-66         Аспирантура        Средний           Есть            ул.Можайская_д.15_к.51
97446        Сидоров        Василий      Федотович            +79309668865             19.08.1972        Мужчина                        Самара             0380_299272           56651598294         799755853905      60.000руб                Врач            Нет              №314-404-211-92        Докторантура         Низший           Есть            ул.Молостовых_д.19_к.8
47000         Ларина          София    Спиридонова            +79916964645             10.02.1985        Женщина               Санкт-Петербург             7885_626106           32226819308         884593539099      45.000руб             Инженер            Нет              №182-807-885-15             Среднее        Средний            Нет            ул.Кремлёвская_д.16_к.74
80802     Королькова      Анастасия     Руслановна            +79935266561             23.13.1990        Женщина                    Красноярск             4083_732021           42985410605         665902377642      35.000руб         Программист           Есть              №975-725-364-86         Аспирантура         Высший            Нет            ул.Зубовская_д.17_к.76
80023       Архипова       Виктория    Спиридонова            +79512339542             18.12.1984        Женщина                    Красноярск             7589_262331           47237650776         661602904265      55.000руб            Психолог            Нет              №843-126-308-17         Аспирантура         Низший           Есть            ул.Соколиная_д.18_к.64
60048        Морозов          Фёдор    Евстафьевич            +79506235187             09.12.1970        Мужчина                          Омск             4075_464867           92112253736         963605411818      75.000руб         Программист           Есть              №916-909-443-42         Аспирантура         Высший            Нет            ул.Садовая_д.9_к.21
89711       Архипова          Ирина     Прохоровна            +79737897779             18.03.1988        Женщина                           Уфа             0393_702589           39922615290         214902476400      55.000руб         Разработчик           Есть              №986-345-951-60              Высшее         Низший            Нет            ул.Заречная_д.20_к.7
69197        Телегин         Степан     Алексеевич            +79313431597             03.01.1994        Мужчина                        Самара             0478_969551           71112163899         765390854453      40.000руб                Врач            Нет              №440-668-549-31         Аспирантура         Высший            Нет            ул.Пушкина_д.2_к.41
79126       Цветаева          Дарья      Тарасовна            +79955201620             27.04.1990        Женщина               Санкт-Петербург             4676_602123           35897411976         458985529528      15.000руб       Администратор           Есть              №788-285-226-70              Высшее         Высший           Есть            ул.Соколиная_д.3_к.82
70861     Королькова      Екатерина      Тарасовна            +79355220945             11.03.1988        Женщина               Санкт-Петербург             7890_370105           24922913710         905627806963      85.000руб             Дантист            Нет              №677-363-928-64        Докторантура         Высший            Нет            ул.Пушкина_д.5_к.20
94543      Богатырёв         Степан  Владиславович            +79575904154             02.13.1973        Мужчина                     Краснодар             0486_786876           29478653414         220497624252      80.000руб             Инженер           Есть              №335-736-418-99              Высшее        Средний            Нет            ул.Арбатская_д.3_к.96
