Номер        Фамилия            Имя       Отчество              Номер тел.              Дата рож.            Пол                         Город                 Паспорт                   ОМС                  ИНН          Доход           Профессия      Наличие кредитов                 СНИЛС         Образование       Соц. класс                    Адрес
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
53452        Морозов          Антон      Донатович            +79444142997             09.06.1979        Мужчина                    Новосибирс             4585_370513           22362610067         429621268396      65.000руб         Программист           Есть              №351-779-214-17             Среднее         Высший            ул.Арбатская_д.18_к.62
64910         Волков    Пантелеймон      Федотович            +79644713355             28.11.1991        Мужчина                   Владивосток             7871_154226           84704537420         460583673684      25.000руб         Программист            Нет              №261-941-668-61              Высшее         Высший            ул.Авангардская_д.13_к.52
50241  Воскресенская          Ольга    Прокопьевна            +79287580063             17.04.1996        Женщина                Ростов-на-Дону             6971_845973           97594309381         144517728540      45.000руб       Администратор           Есть              №414-185-135-95             Среднее         Низший            ул.Молостовых_д.14_к.36
45977      Мельников       Владимир     Васильевич            +79822148172             22.10.1984        Мужчина                          Сочи             0374_631888           20009882380         433066710280      55.000руб                Врач            Нет              №900-657-140-86              Высшее         Низший            ул.Пушкина_д.9_к.14
55708     Королькова        Наталья  Севастьяновна            +79241017839             05.09.1971        Женщина                    Новосибирс             7583_517845           37499085733         293362864551      45.000руб            Аналитик            Нет              №964-130-264-30        Докторантура        Средний            ул.Есенина_д.13_к.25
75654         Быкова       Виктория  Севастьяновна            +79226155748             06.03.1990        Женщина                   Екатерибург             4571_587856           85548874972         429571402189      75.000руб         Программист           Есть              №789-291-163-99         Аспирантура         Низший            ул.Каширская_д.16_к.74
52555     Королькова          Ольга     Прохоровна            +79553639266             04.04.1988        Женщина                       Саратов             0479_818871           19195141925         599732983895      30.000руб             Инженер           Есть              №182-528-327-34              Высшее         Низший            ул.Каширская_д.13_к.86
98558        Князева      Елизавета      Платонова            +79763102422             05.05.1973        Женщина                     Волгоград             0378_674990           96819544476         306982288389      40.000руб             Дантист            Нет              №133-786-104-24             Среднее         Высший            ул.Есенина_д.8_к.23
55688          Орлов      Станислав     Алексеевич            +79981400237             25.08.1986        Мужчина                     Краснодар             4683_690996           66507129150         741959778615      60.000руб                Врач            Нет              №305-638-261-45         Аспирантура         Высший            ул.Заводская_д.6_к.37
90953         Павлов          Антон  Вячеславоваич            +79238938274             15.02.1976        Мужчина                    Красноярск             7890_189421           51945743414         151347509776      55.000руб             Инженер           Есть              №137-598-815-32             Среднее        Средний            ул.Соколиная_д.17_к.4
55531        Галкина           Вера     Радионовна            +79482905091             20.07.1997        Женщина                     Волгоград             4690_857579           79644095846         623170424296      95.000руб            Аналитик            Нет              №622-163-398-71        Докторантура         Низший            ул.Можайская_д.6_к.68
70853        Алмазов           Егор     Кириллович            +79384927363             02.07.1981        Мужчина                Ростов-на-Дону             7884_120188           67105954790         182774332935      60.000руб       Администратор            Нет              №688-654-507-38        Докторантура         Высший            ул.Заречная_д.7_к.22
52120       Воронина      Маргорита    Спиридонова            +79859129470             28.04.1985        Женщина                        Москва             0373_870043           30047830372         145860717220      70.000руб            Психолог            Нет              №715-259-168-17             Среднее        Средний            ул.Октябрьская_д.3_к.33
55084    Виноградова          Ольга     Прохоровна            +79994965338             01.10.1986        Женщина               Нижний Новгород             4692_220577           21256589172         105614659319      15.000руб             Дантист           Есть              №143-236-176-63        Докторантура         Низший            ул.Октябрьская_д.5_к.44
